_id,cnpj,razao_social,nome_fantasia,cod_logradouro,nome_logradouro,numero_residencia,numero_lote,cod_bairro,nome_bairro,situacao_empresa,data_abertura_empresa,data_encerramento,cod_grupo,nome_grupo,cnae,desc_atividade,atividade_principal,atividade_vig_sanitaria,atividade_predominante,incomodo,latitude,longitude
11,12271079000174,RODRIGO SILVESTRE DE SANTANA ME,CONSTRUTIVA,56707,Rua Raposo Tavares,"",50       ,884,COHAB,SUSPENSO,2010-07-20T00:00:00,,22,OUTROS SERVICOS,5620102,SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ,N,S,N,S,,
12,12328301000128,ANDRE TEIXEIRA DOS SANTOS,FOCUS,25500,Rua Frei Francisco Sampaio,"",103      ,884,COHAB,SUSPENSO,2010-07-30T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4751201,Comercio varejista especializado de equipamentos e suprimentos de informatica,N,N,N,N,,
13,12328301000128,ANDRE TEIXEIRA DOS SANTOS,FOCUS,25500,Rua Frei Francisco Sampaio,"",103      ,884,COHAB,SUSPENSO,2010-07-30T00:00:00,,24,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",4753900,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIP DE ÁUDIO E VÍDEO,N,N,N,N,,
14,12328301000128,ANDRE TEIXEIRA DOS SANTOS,FOCUS,25500,Rua Frei Francisco Sampaio,"",103      ,884,COHAB,SUSPENSO,2010-07-30T00:00:00,,23,SERVICOS DE INFORMATICA,9511800,REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPAMENTOS PERIFÉRICOS,S,N,N,N,,
15,12328301000128,ANDRE TEIXEIRA DOS SANTOS,FOCUS,25500,Rua Frei Francisco Sampaio,"",103      ,884,COHAB,SUSPENSO,2010-07-30T00:00:00,,14,CONSERVAÇÃO E LIMPEZA,9521500,REPARAÇÃO E MANUTENÇÃO DE EQUIP ELETROELETRÔN DE USO PESSOAL E DOMÉSTICO,N,N,S,N,,
16,08179640000112,SEVERINO MARQUES DE OLIVEIRA,"",20133,Rua Domingos Antônio Jorge,"",66       ,884,COHAB,BAIXADO,1982-08-01T00:00:00,1993-07-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4712100,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",S,S,N,N,,
17,11387768000186,CONSTRUTORA SEDRO LTDA,"",40207,Rua Cônego Luiz Vieira,"",123      ,884,COHAB,INAPTO,1978-04-01T00:00:00,,1,CONSTRUCAO CIVIL,4120400,CONSTRUÇÃO DE EDIFÍCIOS,S,N,S,N,,
18,22487024000150,A L S PINTO SOARES DE MELO COLCHOARIA ME,SONO E SAUDE COLCHOARIA E CONFECCAO,20133,Rua Domingos Antônio Jorge,"",174      ,884,COHAB,BAIXADO,2015-05-20T00:00:00,2018-07-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4754701,COMÉRCIO VAREJISTA DE MÓVEIS,N,N,N,N,,
19,22487024000150,A L S PINTO SOARES DE MELO COLCHOARIA ME,SONO E SAUDE COLCHOARIA E CONFECCAO,20133,Rua Domingos Antônio Jorge,"",174      ,884,COHAB,BAIXADO,2015-05-20T00:00:00,2018-07-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4754702,COMÉRCIO VAREJISTA DE ARTIGOS DE COLCHOARIA,S,N,N,N,,
20,22487024000150,A L S PINTO SOARES DE MELO COLCHOARIA ME,SONO E SAUDE COLCHOARIA E CONFECCAO,20133,Rua Domingos Antônio Jorge,"",174      ,884,COHAB,BAIXADO,2015-05-20T00:00:00,2018-07-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4759899,COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO DOMÉSTICO NÃO ESPECIF ANTERIORMENTE,N,N,N,N,,
21,22487024000150,A L S PINTO SOARES DE MELO COLCHOARIA ME,SONO E SAUDE COLCHOARIA E CONFECCAO,20133,Rua Domingos Antônio Jorge,"",174      ,884,COHAB,BAIXADO,2015-05-20T00:00:00,2018-07-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4781400,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,N,N,N,N,,
22,22487024000150,A L S PINTO SOARES DE MELO COLCHOARIA ME,SONO E SAUDE COLCHOARIA E CONFECCAO,20133,Rua Domingos Antônio Jorge,"",174      ,884,COHAB,BAIXADO,2015-05-20T00:00:00,2018-07-01T00:00:00,22,OUTROS SERVICOS,7319002,PROMOÇÃO DE VENDAS,N,N,S,N,,
23,28251339000180,CONSTROI MATERIAIS DIVERSOS EIRELI - ME,CONSTROI,9342,Rua Azevedo Cruz,"",31       ,884,COHAB,SUSPENSO,2017-07-24T00:00:00,,27,COMERCIO ATACADISTA,4649404,COMÉRCIO ATACADISTA DE MÓVEIS E ARTIGOS DE COLCHOARIA,N,N,N,N,,
24,28251339000180,CONSTROI MATERIAIS DIVERSOS EIRELI - ME,CONSTROI,9342,Rua Azevedo Cruz,"",31       ,884,COHAB,SUSPENSO,2017-07-24T00:00:00,,27,COMERCIO ATACADISTA,4642702,COMÉRCIO ATACADISTA DE ROUPAS E ACESSÓRIOS P/ USO PROF E DE SEGUR DO TRABALHO,N,N,N,N,,
25,28251339000180,CONSTROI MATERIAIS DIVERSOS EIRELI - ME,CONSTROI,9342,Rua Azevedo Cruz,"",31       ,884,COHAB,SUSPENSO,2017-07-24T00:00:00,,27,COMERCIO ATACADISTA,4647801,COMÉRCIO ATACADISTA DE ARTIGOS DE ESCRITÓRIO E DE PAPELARIA,N,N,N,N,,
26,28251339000180,CONSTROI MATERIAIS DIVERSOS EIRELI - ME,CONSTROI,9342,Rua Azevedo Cruz,"",31       ,884,COHAB,SUSPENSO,2017-07-24T00:00:00,,27,COMERCIO ATACADISTA,4649402,COMÉRCIO ATACADISTA DE APARELHOS ELETRÔNICOS DE USO PESSOAL E DOMÉSTICO,N,N,N,N,,
27,28251339000180,CONSTROI MATERIAIS DIVERSOS EIRELI - ME,CONSTROI,9342,Rua Azevedo Cruz,"",31       ,884,COHAB,SUSPENSO,2017-07-24T00:00:00,,27,COMERCIO ATACADISTA,4649408,"COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE, LIMPEZA E CONSERVAÇÃO DOMICILIAR",N,S,N,N,,
28,28251339000180,CONSTROI MATERIAIS DIVERSOS EIRELI - ME,CONSTROI,9342,Rua Azevedo Cruz,"",31       ,884,COHAB,SUSPENSO,2017-07-24T00:00:00,,27,COMERCIO ATACADISTA,4672900,COMÉRCIO ATACADISTA DE FERRAGENS E FERRAMENTAS,N,N,N,N,,
29,28251339000180,CONSTROI MATERIAIS DIVERSOS EIRELI - ME,CONSTROI,9342,Rua Azevedo Cruz,"",31       ,884,COHAB,SUSPENSO,2017-07-24T00:00:00,,27,COMERCIO ATACADISTA,4679699,COMÉRCIO ATACADISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,S,N,N,S,,
30,28251339000180,CONSTROI MATERIAIS DIVERSOS EIRELI - ME,CONSTROI,9342,Rua Azevedo Cruz,"",31       ,884,COHAB,SUSPENSO,2017-07-24T00:00:00,,27,COMERCIO ATACADISTA,4643501,COMÉRCIO ATACADISTA DE CALÇADOS,N,N,N,N,,
31,28251339000180,CONSTROI MATERIAIS DIVERSOS EIRELI - ME,CONSTROI,9342,Rua Azevedo Cruz,"",31       ,884,COHAB,SUSPENSO,2017-07-24T00:00:00,,27,COMERCIO ATACADISTA,4673700,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO,N,N,N,N,,
32,11410009000197,MJ DE SANTANA ME,SANTANA BOLSAS E ACESSORIOS,20877,Rua Eduardo Guimarães,"",31       ,884,COHAB,SUSPENSO,2009-12-17T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4782202,COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM,S,N,N,N,,
33,08640625000120,CLARICE MARIZ ALVES PERONICO,GRECIA ARMARINHO,50865,Rua Pero Vaz de Caminha,"",40       ,884,COHAB,INAPTO,1983-03-01T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4712100,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",S,S,N,N,,
34,12586582000119,NAILDE SOUTO DA SILVA ME,ESCOLA DO PINOQUIO,50865,Rua Pero Vaz de Caminha,"",48       ,884,COHAB,SUSPENSO,1987-09-08T00:00:00,,8,EDUCACAO,8513900,ENSINO FUNDAMENTAL,S,S,S,N,,
35,22767890000102,J.G.M. RADIODIAGNOSTICO LTDA ME,J G M RADIODIAGNOSTICO,50865,Rua Pero Vaz de Caminha,"",56       ,884,COHAB,SUSPENSO,2015-07-02T00:00:00,,7,SAUDE,8640204,SERVIÇOS DE TOMOGRAFIA,N,N,N,N,,
36,22767890000102,J.G.M. RADIODIAGNOSTICO LTDA ME,J G M RADIODIAGNOSTICO,50865,Rua Pero Vaz de Caminha,"",56       ,884,COHAB,SUSPENSO,2015-07-02T00:00:00,,7,SAUDE,8640205,"SERVIÇOS DE DIAGNÓSTICO POR IMAGEM COM USO DE RADIAÇÃO IONIZANTE, EXC TOMOGRAFIA",S,S,S,N,,
37,22767890000102,J.G.M. RADIODIAGNOSTICO LTDA ME,J G M RADIODIAGNOSTICO,50865,Rua Pero Vaz de Caminha,"",56       ,884,COHAB,SUSPENSO,2015-07-02T00:00:00,,7,SAUDE,8640206,SERVIÇOS DE RESSONÂNCIA MAGNÉTICA,N,N,N,N,,
38,22767890000102,J.G.M. RADIODIAGNOSTICO LTDA ME,J G M RADIODIAGNOSTICO,50865,Rua Pero Vaz de Caminha,"",56       ,884,COHAB,SUSPENSO,2015-07-02T00:00:00,,7,SAUDE,8640210,SERVIÇOS DE QUIMIOTERAPIA,N,N,N,N,,
39,22767890000102,J.G.M. RADIODIAGNOSTICO LTDA ME,J G M RADIODIAGNOSTICO,50865,Rua Pero Vaz de Caminha,"",56       ,884,COHAB,SUSPENSO,2015-07-02T00:00:00,,7,SAUDE,8640211,SERVIÇOS DE RADIOTERAPIA,N,N,N,N,,
40,11574894000140,JOSE GOMES DOS SANTOS ESTIVAS,"",50865,Rua Pero Vaz de Caminha,"",64       ,884,COHAB,BAIXADO,1980-12-01T00:00:00,1996-01-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4712100,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",S,S,N,N,,
41,11149333000101,JAILDA MENDES DA FONSECA,"",9342,Rua Azevedo Cruz,"",72       ,884,COHAB,INAPTO,1979-11-01T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4712100,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",S,S,N,N,,
42,10594554000118,PANIFICADORA VIDA NOVA LTDA,"",62707,Rua Vale do Cariri,000A,14       ,884,COHAB,BAIXADO,1987-11-01T00:00:00,1988-07-01T00:00:00,28,INDUSTRIA GERAL,1091102,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,S,S,N,S,,
43,11265303000152,COMISSAO ORGANIZADORA DO CARNAVAL DA UR CINCO,"",20133,Rua Domingos Antônio Jorge,"",191      ,884,COHAB,SUSPENSO,1995-05-01T00:00:00,,20,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",9420100,ATIVIDADES DE ORGANIZAÇÕES SINDICAIS,S,N,S,N,,
44,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,1,CONSTRUCAO CIVIL,4391600,OBRAS DE FUNDAÇÕES,N,N,N,N,,
45,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,1,CONSTRUCAO CIVIL,4399103,OBRAS DE ALVENARIA,N,N,N,N,,
46,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,14,CONSERVAÇÃO E LIMPEZA,4321500,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,N,N,N,N,,
47,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,13,"INSTALACAO, COLOCACAO E MONTAGEM",4322302,"INSTALAÇÃO E MANUTENÇÃO DE SIST CENTRAIS DE AR CONDIC, DE VENTIL E REFRIGERAÇÃO",N,N,N,N,,
48,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,1,CONSTRUCAO CIVIL,4329103,"Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes",N,N,N,N,,
49,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,13,"INSTALACAO, COLOCACAO E MONTAGEM",4329104,"MONTAG E INST DE SIST E EQUIP DE ILUM E SINALIZ EM VIAS PÚBLICAS, PORTOS E AEROPORTOS",N,N,N,N,,
50,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,13,"INSTALACAO, COLOCACAO E MONTAGEM",4329199,OUTRAS OBRAS DE INSTALAÇÕES EM CONSTRUÇÕES NÃO ESPECIFICADAS ANTERIORMENTE,N,N,N,N,,
51,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,1,CONSTRUCAO CIVIL,4330401,IMPERMEABILIZAÇÃO EM OBRAS DE ENGENHARIA CIVIL,N,N,S,N,,
52,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,13,"INSTALACAO, COLOCACAO E MONTAGEM",4330402,"INSTALAÇÃO DE PORTAS, JANELAS, TETOS, DIVISÓRIAS E ARMÁR EMBUT DE QUALQ MATERIAL",N,N,N,N,,
53,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,1,CONSTRUCAO CIVIL,4330403,OBRAS DE ACABAMENTO EM GESSO E ESTUQUE,N,N,N,N,,
54,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,1,CONSTRUCAO CIVIL,4330405,APLICAÇÃO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES,N,N,N,N,,
55,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,1,CONSTRUCAO CIVIL,4330499,OUTRAS OBRAS DE ACABAMENTO DA CONSTRUÇÃO,N,N,N,N,,
56,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,1,CONSTRUCAO CIVIL,4399105,PERFURAÇÃO E CONSTRUÇÃO DE POÇOS DE ÁGUA,N,N,N,N,,
57,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4744001,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,N,N,N,N,,
58,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4744002,COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS,N,N,N,N,,
59,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4744003,COMÉRCIO VAREJISTA DE MATERIAIS HIDRÁULICOS,N,N,N,N,,
60,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4744005,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,N,N,N,N,,
61,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4744099,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,S,N,N,S,,
62,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,22,OUTROS SERVICOS,8219999,PREPARACAO DE DOCUMENTOS E SERV ESPECIALIZ DE APOIO ADMINIST N/ ESP ANTERIORMENTE,N,N,N,N,,
63,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,13,"INSTALACAO, COLOCACAO E MONTAGEM",4329101,INSTALAÇÃO DE PAINÉIS PUBLICITÁRIOS,N,N,N,N,,
64,10715320000181,M E DE PAULA SANTOS ME,ME COMERCIO E SERVICOS - ME,56707,Rua Raposo Tavares,"",244      ,884,COHAB,SUSPENSO,2009-03-24T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4744004,"COMÉRCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS",N,N,N,S,,
65,11736400000186,ALIANCA ADMINISTRADORA LTDA,ALIANCA,25500,Rua Frei Francisco Sampaio,"",200      ,884,COHAB,BAIXADO,2010-03-24T00:00:00,2015-07-01T00:00:00,10,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",6822600,GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA,S,N,S,N,,
66,24262024000187,LUIZ MANOEL DE PAULA EMPREITEIRA ME,LM REFORMA CONSTRUCOES,28835,Rua Henrique Rabelo,"",87       ,884,COHAB,BAIXADO,1999-06-01T00:00:00,2016-07-01T00:00:00,1,CONSTRUCAO CIVIL,4120400,CONSTRUÇÃO DE EDIFÍCIOS,S,N,S,N,,
67,29459063000192,LUIZ MANOEL DE PAULA ME,"",28835,Rua Henrique Rabelo,"",87       ,884,COHAB,SUSPENSO,2018-01-18T00:00:00,,1,CONSTRUCAO CIVIL,4330404,SERVIÇOS DE PINTURA DE EDIFÍCIOS EM GERAL,N,N,N,N,,
68,29459063000192,LUIZ MANOEL DE PAULA ME,"",28835,Rua Henrique Rabelo,"",87       ,884,COHAB,SUSPENSO,2018-01-18T00:00:00,,1,CONSTRUCAO CIVIL,4330405,APLICAÇÃO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES,S,N,S,N,,
69,29459063000192,LUIZ MANOEL DE PAULA ME,"",28835,Rua Henrique Rabelo,"",87       ,884,COHAB,SUSPENSO,2018-01-18T00:00:00,,1,CONSTRUCAO CIVIL,4330499,OUTRAS OBRAS DE ACABAMENTO DA CONSTRUÇÃO,N,N,N,N,,
70,11394921000100,CENTRO SOCIAL DO SALGADO,"",28835,Rua Henrique Rabelo,"",15       ,884,COHAB,INAPTO,1987-10-01T00:00:00,,20,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",9420100,ATIVIDADES DE ORGANIZAÇÕES SINDICAIS,S,N,S,N,,
71,44057473000109,NIEDJA CRISTINA DA SILVA FERREIRA 05760626426,NIEDJA PALESTRAS E TREINAMENTOS,56707,Rua Raposo Tavares,"",259      ,884,COHAB,SUSPENSO,2021-10-28T00:00:00,,8,EDUCACAO,8599699,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,N,N,S,N,,
72,44057473000109,NIEDJA CRISTINA DA SILVA FERREIRA 05760626426,NIEDJA PALESTRAS E TREINAMENTOS,56707,Rua Raposo Tavares,"",259      ,884,COHAB,SUSPENSO,2021-10-28T00:00:00,,8,EDUCACAO,8599604,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,S,N,N,N,,
73,44057473000109,NIEDJA CRISTINA DA SILVA FERREIRA 05760626426,NIEDJA PALESTRAS E TREINAMENTOS,56707,Rua Raposo Tavares,"",259      ,884,COHAB,SUSPENSO,2021-10-28T00:00:00,,22,OUTROS SERVICOS,7319002,PROMOÇÃO DE VENDAS,N,N,N,N,,
74,44057473000109,NIEDJA CRISTINA DA SILVA FERREIRA 05760626426,NIEDJA PALESTRAS E TREINAMENTOS,56707,Rua Raposo Tavares,"",259      ,884,COHAB,SUSPENSO,2021-10-28T00:00:00,,8,EDUCACAO,8599605,CURSOS PREPARATÓRIOS PARA CONCURSOS,N,N,N,N,,
75,44057473000109,NIEDJA CRISTINA DA SILVA FERREIRA 05760626426,NIEDJA PALESTRAS E TREINAMENTOS,56707,Rua Raposo Tavares,"",259      ,884,COHAB,SUSPENSO,2021-10-28T00:00:00,,7,SAUDE,8712300,ATIVIDADES DE FORNEC DE INFRA-ESTRUTURA DE APOIO E ASSIST A PACIENTE NO DOMICÍLIO,N,S,N,N,,
76,19562694000189,PASCOAL & SILVA CONSTRUCOES LTDA ME,MALTEC,56707,Rua Raposo Tavares,"",227      ,884,COHAB,SUSPENSO,2014-01-21T00:00:00,,14,CONSERVAÇÃO E LIMPEZA,3314707,MANUTENÇÃO E REPAR DE MÁQ E APAR DE REFRIGER E VENTILAÇÃO P/ USO IND E COMERCIAL,N,N,S,S,,
77,19562694000189,PASCOAL & SILVA CONSTRUCOES LTDA ME,MALTEC,56707,Rua Raposo Tavares,"",227      ,884,COHAB,SUSPENSO,2014-01-21T00:00:00,,1,CONSTRUCAO CIVIL,4222702,OBRAS DE IRRIGAÇÃO,N,N,N,N,,
78,19562694000189,PASCOAL & SILVA CONSTRUCOES LTDA ME,MALTEC,56707,Rua Raposo Tavares,"",227      ,884,COHAB,SUSPENSO,2014-01-21T00:00:00,,3,TECNICO-CIENTIFICO,4213800,"OBRAS DE URBANIZAÇÃO - RUAS, PRAÇAS E CALÇADAS",N,N,N,N,,
79,19562694000189,PASCOAL & SILVA CONSTRUCOES LTDA ME,MALTEC,56707,Rua Raposo Tavares,"",227      ,884,COHAB,SUSPENSO,2014-01-21T00:00:00,,1,CONSTRUCAO CIVIL,4222701,"CONST DE REDES DE ABAST DE ÁGUA, COL DE ESGOT E CONST CORREL, EXC OBRAS DE IRRIGA",N,N,N,N,,
